raw math,math section,raw reading,reading section,raw writing,writing section
0,200,0,10,0,10
1,200,1,10,1,10
2,210,2,10,2,10
3,230,3,11,3,10
4,240,4,12,4,11
5,260,5,13,5,12
6,280,6,14,6,13
7,290,7,15,7,13
8,310,8,15,8,14
9,320,9,16,9,15
10,330,10,17,10,16
11,340,11,17,11,16
12,360,12,18,12,17
13,370,13,19,13,18
14,380,14,20,14,19
15,390,15,20,15,19
16,410,16,21,16,20
17,420,17,21,17,21
18,430,18,22,18,21
19,440,19,22,19,22
20,450,20,23,20,23
21,460,21,23,21,23
22,470,22,24,22,24
23,480,23,24,23,25
24,480,24,25,24,25
25,490,25,25,25,26
26,500,26,26,26,26
27,510,27,26,27,27
28,520,28,27,28,28
29,520,29,28,29,28
30,530,30,28,30,29
31,540,31,29,31,30
32,550,32,29,32,30
33,560,33,30,33,31
34,560,34,30,34,32
35,570,35,31,35,32
36,580,36,31,36,33
37,590,37,32,37,34
38,600,38,32,38,34
39,600,39,33,39,35
40,610,40,33,40,36
41,620,41,34,41,37
42,630,42,35,42,38
43,640,43,35,43,39
44,650,44,36,44,40
45,660,45,37,,
46,670,46,37,,
47,670,47,38,,
48,680,48,38,,
49,690,49,39,,
50,700,50,39,,
51,710,51,40,,
52,730,52,40,,
53,740,,,,
54,750,,,,
55,760,,,,
56,780,,,,
57,790,,,,
58,800,,,,
